iter	Passed	Remaining
0	134	134589
1	136	68139
2	138	45991
3	140	35010
4	142	28348
5	144	23868
6	145	20664
7	147	18256
8	148	16396
9	150	14854
10	151	13613
11	152	12590
12	153	11687
13	155	10920
14	155	10235
15	156	9634
16	157	9094
17	157	8612
18	158	8180
19	158	7789
20	159	7435
21	160	7119
22	160	6827
23	161	6557
24	161	6313
25	162	6084
26	162	5871
27	163	5678
28	164	5497
29	165	5336
30	165	5180
31	166	5029
32	166	4887
33	167	4766
34	168	4645
35	169	4526
36	169	4414
37	170	4310
38	170	4209
39	171	4113
40	171	4020
41	172	3934
42	173	3851
43	173	3771
44	174	3694
45	174	3621
46	175	3550
47	175	3483
48	176	3419
49	176	3359
50	177	3301
51	178	3246
52	178	3197
53	179	3148
54	180	3101
55	181	3058
56	182	3013
57	182	2971
58	183	2930
59	184	2892
60	185	2850
61	185	2810
62	186	2770
63	186	2732
64	187	2695
65	187	2659
66	188	2623
67	188	2589
68	189	2556
69	190	2524
70	190	2492
71	191	2462
72	191	2433
73	192	2406
74	192	2378
75	193	2352
76	194	2330
77	195	2309
78	196	2285
79	196	2260
80	197	2237
81	197	2213
82	197	2187
83	198	2164
84	199	2143
85	199	2121
86	200	2100
87	200	2079
88	201	2059
89	201	2039
90	202	2020
91	202	2001
92	203	1983
93	203	1965
94	204	1947
95	204	1929
96	205	1912
97	205	1895
98	206	1879
99	207	1864
100	208	1852
101	208	1837
102	209	1822
103	209	1807
104	210	1794
105	211	1782
106	211	1769
107	212	1755
108	213	1741
109	213	1728
110	214	1715
111	214	1702
112	215	1689
113	215	1676
114	216	1664
115	216	1651
116	217	1639
117	217	1627
118	218	1616
119	218	1604
120	219	1593
121	219	1582
122	220	1571
123	221	1563
124	221	1553
125	222	1544
126	223	1534
127	223	1524
128	224	1514
129	224	1504
130	225	1494
131	225	1485
132	226	1475
133	226	1466
134	227	1456
135	227	1447
136	228	1438
137	229	1430
138	229	1421
139	230	1413
140	230	1405
141	231	1396
142	231	1388
143	232	1379
144	232	1371
145	233	1363
146	233	1355
147	234	1348
148	234	1341
149	235	1334
150	236	1327
151	236	1320
152	237	1314
153	238	1308
154	238	1301
155	239	1295
156	240	1289
157	240	1282
158	241	1276
159	241	1269
160	242	1261
161	242	1254
162	243	1248
163	243	1242
164	244	1235
165	244	1229
166	245	1223
167	245	1217
168	246	1211
169	246	1205
170	247	1200
171	248	1195
172	249	1190
173	249	1185
174	250	1179
175	251	1177
176	252	1174
177	253	1168
178	253	1163
179	254	1157
180	254	1152
181	255	1148
182	256	1143
183	256	1138
184	257	1133
185	257	1128
186	258	1123
187	258	1118
188	259	1112
189	259	1108
190	260	1103
191	260	1098
192	261	1094
193	262	1090
194	262	1085
195	263	1081
196	264	1077
197	265	1075
198	266	1071
199	266	1067
200	267	1063
201	268	1058
202	268	1054
203	269	1049
204	269	1045
205	270	1041
206	270	1036
207	271	1032
208	271	1028
209	272	1024
210	272	1020
211	273	1016
212	274	1012
213	274	1008
214	275	1005
215	275	1001
216	276	997
217	276	993
218	277	989
219	277	985
220	278	981
221	279	977
222	279	974
223	280	971
224	281	968
225	281	964
226	282	961
227	282	957
228	283	954
229	283	950
230	284	947
231	285	943
232	285	939
233	286	936
234	286	932
235	287	929
236	287	926
237	288	922
238	289	920
239	289	917
240	290	914
241	291	911
242	291	908
243	292	905
244	293	903
245	293	900
246	294	897
247	295	894
248	295	892
249	296	889
250	296	886
251	297	882
252	298	879
253	298	876
254	299	873
255	299	870
256	300	867
257	300	865
258	301	862
259	301	859
260	302	856
261	303	853
262	303	850
263	304	847
264	304	845
265	305	842
266	305	839
267	306	836
268	306	833
269	307	830
270	307	828
271	308	825
272	309	823
273	309	821
274	310	818
275	311	816
276	311	813
277	312	810
278	312	808
279	313	805
280	313	802
281	314	800
282	314	797
283	315	795
284	316	793
285	316	790
286	317	788
287	317	785
288	318	783
289	319	781
290	319	778
291	320	776
292	320	773
293	321	771
294	321	768
295	322	766
296	322	763
297	323	761
298	324	759
299	324	757
300	325	756
301	326	754
302	326	751
303	327	749
304	328	747
305	328	745
306	329	742
307	329	740
308	330	738
309	330	736
310	331	734
311	332	732
312	332	730
313	333	728
314	334	726
315	334	724
316	335	722
317	336	720
318	336	718
319	337	716
320	337	714
321	338	712
322	338	710
323	339	708
324	340	706
325	340	704
326	341	702
327	341	700
328	342	698
329	342	696
330	343	694
331	344	692
332	344	690
333	345	688
334	346	687
335	346	685
336	347	683
337	348	681
338	348	680
339	349	678
340	349	676
341	350	673
342	350	671
343	351	669
344	351	668
345	352	666
346	353	664
347	353	662
348	354	661
349	355	659
350	355	657
351	356	655
352	356	653
353	357	651
354	357	650
355	358	648
356	358	646
357	359	644
358	360	642
359	360	640
360	361	639
361	361	637
362	362	635
363	362	633
364	363	632
365	363	630
366	364	628
367	364	626
368	365	624
369	365	622
370	366	621
371	366	619
372	367	617
373	368	616
374	368	614
375	369	613
376	370	611
377	370	609
378	371	608
379	372	607
380	372	605
381	373	604
382	373	602
383	374	600
384	374	598
385	375	597
386	375	595
387	376	593
388	376	592
389	377	590
390	377	588
391	378	587
392	379	585
393	379	584
394	380	582
395	380	581
396	381	579
397	382	577
398	382	576
399	383	574
400	383	573
401	384	571
402	385	570
403	385	569
404	386	567
405	386	566
406	387	564
407	388	563
408	389	562
409	389	560
410	390	559
411	390	557
412	391	556
413	391	554
414	392	553
415	392	551
416	393	550
417	393	548
418	394	547
419	394	545
420	395	543
421	396	542
422	396	541
423	397	539
424	398	538
425	398	537
426	399	536
427	400	534
428	400	533
429	401	531
430	401	530
431	402	528
432	402	527
433	403	525
434	403	524
435	404	522
436	404	521
437	405	520
438	405	518
439	406	517
440	406	515
441	407	514
442	407	512
443	408	511
444	408	510
445	409	508
446	410	507
447	410	505
448	411	504
449	411	503
450	412	501
451	413	500
452	413	499
453	414	498
454	415	497
455	415	496
456	416	494
457	416	493
458	417	492
459	418	490
460	418	489
461	419	488
462	419	486
463	420	485
464	420	484
465	421	482
466	421	481
467	422	480
468	423	479
469	423	477
470	424	476
471	424	475
472	425	473
473	425	472
474	426	471
475	427	470
476	428	469
477	428	468
478	429	466
479	429	465
480	430	464
481	430	462
482	431	461
483	431	460
484	432	459
485	433	457
486	433	456
487	434	455
488	434	454
489	435	452
490	435	451
491	436	450
492	436	449
493	437	447
494	437	446
495	438	445
496	438	444
497	439	442
498	439	441
499	440	440
500	441	439
501	442	438
502	443	437
503	443	436
504	444	435
505	445	434
506	445	433
507	446	432
508	446	431
509	447	429
510	447	428
511	448	427
512	448	426
513	449	424
514	450	423
515	450	422
516	451	421
517	451	420
518	452	419
519	452	418
520	453	416
521	453	415
522	454	414
523	455	413
524	456	412
525	456	411
526	457	410
527	457	409
528	458	408
529	458	406
530	459	405
531	459	404
532	460	403
533	460	402
534	461	401
535	461	399
536	462	398
537	463	397
538	463	396
539	464	395
540	464	394
541	465	393
542	465	391
543	466	390
544	466	389
545	467	388
546	468	387
547	468	386
548	469	385
549	470	385
550	471	384
551	472	383
552	472	382
553	473	381
554	473	379
555	474	378
556	475	377
557	475	376
558	476	375
559	476	374
560	477	373
561	477	372
562	478	371
563	479	370
564	479	369
565	480	368
566	480	367
567	481	366
568	481	365
569	482	364
570	483	363
571	483	362
572	484	361
573	485	360
574	486	359
575	486	358
576	487	357
577	487	356
578	488	355
579	488	353
580	489	352
581	489	351
582	490	350
583	490	349
584	491	348
585	491	347
586	492	346
587	493	345
588	493	344
589	494	343
590	495	342
591	495	341
592	496	340
593	496	339
594	497	338
595	497	337
596	498	336
597	499	335
598	500	334
599	500	333
600	501	332
601	502	332
602	502	331
603	503	330
604	504	329
605	504	328
606	505	327
607	505	326
608	506	325
609	507	324
610	507	323
611	508	322
612	509	321
613	509	320
614	510	319
615	511	318
616	511	317
617	512	316
618	512	315
619	513	314
620	513	313
621	514	312
622	515	311
623	515	310
624	516	309
625	517	308
626	517	307
627	518	307
628	518	306
629	520	305
630	520	304
631	521	303
632	522	302
633	522	301
634	523	301
635	524	300
636	524	299
637	525	298
638	526	297
639	526	296
640	527	295
641	527	294
642	528	293
643	529	292
644	530	291
645	530	290
646	531	289
647	531	288
648	532	287
649	532	286
650	533	285
651	533	284
652	534	283
653	534	282
654	535	282
655	536	281
656	536	280
657	537	279
658	538	278
659	538	277
660	539	276
661	539	275
662	540	274
663	540	273
664	541	272
665	541	271
666	542	270
667	543	269
668	543	269
669	544	268
670	544	267
671	545	266
672	546	265
673	546	264
674	547	263
675	547	262
676	548	261
677	548	260
678	549	259
679	549	258
680	550	257
681	551	256
682	551	256
683	552	255
684	552	254
685	553	253
686	553	252
687	554	251
688	554	250
689	555	249
690	556	248
691	556	247
692	557	246
693	558	246
694	558	245
695	559	244
696	559	243
697	560	242
698	561	241
699	561	240
700	562	239
701	563	238
702	563	238
703	564	237
704	564	236
705	565	235
706	565	234
707	566	233
708	566	232
709	567	231
710	567	230
711	568	229
712	568	228
713	569	228
714	569	227
715	570	226
716	571	225
717	572	224
718	573	223
719	573	223
720	574	222
721	574	221
722	575	220
723	575	219
724	576	218
725	576	217
726	577	216
727	577	215
728	578	215
729	579	214
730	579	213
731	580	212
732	580	211
733	581	210
734	581	209
735	582	208
736	582	207
737	583	207
738	583	206
739	584	205
740	584	204
741	585	203
742	586	202
743	587	202
744	588	201
745	588	200
746	589	199
747	590	198
748	590	198
749	591	197
750	591	196
751	592	195
752	592	194
753	593	193
754	593	192
755	594	191
756	594	190
757	595	190
758	596	189
759	596	188
760	597	187
761	597	186
762	598	185
763	598	184
764	599	184
765	600	183
766	601	182
767	602	181
768	602	181
769	603	180
770	604	179
771	604	178
772	605	177
773	606	177
774	606	176
775	607	175
776	608	174
777	608	173
778	609	172
779	609	172
780	610	171
781	611	170
782	611	169
783	612	168
784	612	167
785	613	166
786	614	166
787	614	165
788	615	164
789	616	163
790	616	162
791	617	162
792	617	161
793	618	160
794	618	159
795	619	158
796	620	157
797	620	157
798	621	156
799	621	155
800	622	154
801	622	153
802	623	152
803	623	152
804	624	151
805	624	150
806	625	149
807	625	148
808	626	147
809	626	147
810	627	146
811	628	145
812	628	144
813	629	143
814	629	142
815	630	142
816	631	141
817	631	140
818	632	139
819	632	138
820	633	138
821	634	137
822	634	136
823	635	135
824	635	134
825	636	134
826	636	133
827	637	132
828	637	131
829	638	130
830	638	129
831	639	129
832	640	128
833	640	127
834	641	126
835	641	125
836	642	125
837	642	124
838	643	123
839	643	122
840	644	121
841	645	121
842	645	120
843	646	119
844	646	118
845	647	117
846	648	117
847	648	116
848	649	115
849	649	114
850	650	113
851	650	113
852	651	112
853	651	111
854	652	110
855	653	109
856	653	109
857	654	108
858	654	107
859	655	106
860	655	105
861	656	105
862	657	104
863	658	103
864	658	102
865	659	102
866	660	101
867	660	100
868	661	99
869	661	98
870	662	98
871	662	97
872	663	96
873	664	95
874	664	94
875	665	94
876	665	93
877	666	92
878	666	91
879	667	90
880	667	90
881	668	89
882	668	88
883	669	87
884	670	87
885	670	86
886	671	85
887	671	84
888	672	83
889	672	83
890	673	82
891	673	81
892	674	80
893	675	80
894	675	79
895	676	78
896	676	77
897	677	76
